"Source:","/Users/rgh/Dropbox/UG/UG_Git/UG_MKII/LM2679/LM2679.sch"
"Date:","2021 April 26, Monday 21:57:40"
"Tool:","Eeschema (5.1.9-0-10_14)"
"Generator:","/private/var/folders/by/1kf7bstx21j55p2y14x53nzm0000gn/T/AppTranslocation/B23724E6-8837-43D6-BC83-7226F53D83A2/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","20"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DCR","Impedence ","MPN","Manufacturer","Power","Rating","SRF","Tolerance"
"","","C1","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://content.kemet.com/datasheets/KEM_C1012_X7R_OPENMODE_SMD.pdf","~","~","C0805F103K5RACTU","KEMET","~","50V","~","~"
"","","C2","10µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","135mΩ","T495D106K035ATE125","KEMET","~","35V","~","~"
"","","C3","10µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","135mΩ","T495D106K035ATE125","KEMET","~","35V","~","~"
"","","C4","10µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","135mΩ","T495D106K035ATE125","KEMET","~","35V","~","~"
"","","C5","10µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","135mΩ","T495D106K035ATE125","KEMET","~","35V","~","~"
"","","C6","0.47µF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.yuden.co.jp/productdata/catalog/mlcc06_e.pdf","~","~","GMK212BJ474KG-T","Taiyo Yuden","~","35V","~","~"
"","","C7","0.1µF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://datasheets.avx.com/X7RDielectric.pdf~","~","~","1206DC104KAT2A","AVX Corporation","~","35V","~","~"
"","","C8","150µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","70mΩ","T495X157K010ATE070","KEMET","~","10V","~","~"
"","","C9","150µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","70mΩ","T495X157K010ATE070","KEMET","~","10V","~","~"
"","","C10","150µF ","Device:CP1","Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder","https://content.kemet.com/datasheets/KEM_T2009_T495.pdf","~","70mΩ","T495X157K010ATE070","KEMET","~","10V","~","~"
"","","D1","45V 6A","Device:D_Schottky","Package_TO_SOT_SMD:TO-263-2_TabPin1","https://www.vishay.com/docs/94945/vs-6tqs-m3.pdf","~","~","VS-6TQ045S-M3","Vishay General Semiconductor - Diodes Division","~","~","~","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","~","~","~","~","~","~","~","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","~","~","~","~","~","~","~","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","~","~","~","~","~","~","~","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~","~","~","~","~","~","~","~","~"
"","","J1","INPUT","Connector:TerminalBlock_Phoenix_SPTAF-1x02_P5.00mm_Angle45","TerminalBlock_Phoenix:TerminalBlock_Phoenix_SPTAF-1x02_P5.00mm_Angle45","~","~","~","1862275","Phoenix Contact","~","~","~","~"
"","","J2","OUTPUT","Connector:TerminalBlock_Phoenix_SPTAF-1x02_P5.00mm_Angle45","TerminalBlock_Phoenix:TerminalBlock_Phoenix_SPTAF-1x02_P5.00mm_Angle45","~","~","~","1862275","Phoenix Contact","~","~","~","~"
"","","L1","15µH 5A","Device:L","Inductor_SMD:L_Wuerth_WE-PD-Typ-LS_Handsoldering","https://www.we-online.de/katalog/datasheet/744770115.pdf","27mΩ","~","744770115","Würth Elektronik","~","~","14.5MHz","~"
"","","R1","5.6kΩ","Device:R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","https://www.vishay.com/docs/28705/mcx0x0xpro.pdf","~","~","MCS04020C5601FE000","Vishay Beyschlag/Draloric/BC Components","0.1W","~","~","1%"
"","","U1","LM2679","Regulator_Switching:LM2679","Package_TO_SOT_SMD:TO-263-7_TabPin8","https://www.ti.com/lit/ds/symlink/lm2679.pdf?ts=1619264190615","~","~","LM2679S-5.0/NOPB","Texas Instruments","~","~","~","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DCR","Impedence ","MPN","Manufacturer","Power","Rating","SRF","Tolerance"
