Qty,Reference(s),Value,Datasheet,MPN,Manufacturer,Power,Rating,Tolerance
1,C1,0.1µF,https://www.nichicon.co.jp/english/products/pdfs/e-uwp.pdf,UWP1H0R1MCL1GB,Nichicon,~,50V,±20%
1,C2,1000pF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C0805C102K4RACTU,KEMET,~,16V,±10%
1,C3,22µF,https://products.nichicon.co.jp/en/pdf/XJA043/e-uwt.pdf,UWT1C220MCL1GB,Nichicon,~,16V,±20%
1,C4,0.1µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C0805C104K4RACTU,KEMET,~,16V,±10%
1,C5,10µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C0805C106K8RACTU,KEMET,~,10V,±10%
1,C6,1µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C0805C105J4RAC7025,KEMET,~,16V,±5%
1,C7,1µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C0805C105J4RAC7025,KEMET,~,16V,±5%
1,C8,1µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C0805C105J4RAC7025,KEMET,~,16V,±5%
1,C9,47µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C1210C476K8RAC7800,KEMET,~,10V,±10%
1,C10,47µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C1210C476K8RAC7800,KEMET,~,10V,±10%
1,C11,47µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C1210C476K8RAC7800,KEMET,~,10V,±10%
1,C12,47µF,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,C1210C476K8RAC7800,KEMET,~,10V,±10%
1,FB1,21Ω @ 1MHz,https://www.murata.com/en-us/products/productdata/8796734717982/ENFJ0003.pdf,NFZ32BW210HN11L,Murata Electronics,~,~,~
1,H1,MountingHole,~,~,~,~,~,~
1,H2,MountingHole,~,~,~,~,~,~
1,H3,MountingHole,~,~,~,~,~,~
1,H4,MountingHole,~,~,~,~,~,~
1,J1,PWR,~,~,~,~,~,~
1,J2,SPI,~,~,~,~,~,~
1,J3,CH4,~,~,~,~,~,~
1,J4,CH3,~,~,~,~,~,~
1,J5,CH2,~,~,~,~,~,~
1,J6,CH1,~,~,~,~,~,~
1,R1,10kΩ,https://www.vishay.com/docs/20065/rcse3.pdf,RCS080510K0FKEA,Vishay Dale,0.4W,~,±1%
1,R2,1kΩ,https://www.vishay.com/docs/28758/tnpw_e3.pdf,TNPW08051K00BEEA,Vishay Dale,0.2W,~,±0.1%
1,R3,1kΩ,https://www.vishay.com/docs/28758/tnpw_e3.pdf,TNPW08051K00BEEA,Vishay Dale,0.2W,~,±0.1%
1,R4,68kΩ,https://www.vishay.com/docs/20065/rcse3.pdf,RCS080568K0FKEA,Vishay Dale,0.4W,~,±1%
1,R5,68kΩ,https://www.vishay.com/docs/20065/rcse3.pdf,RCS080568K0FKEA,Vishay Dale,0.4W,~,±1%
1,R6,68kΩ,https://www.vishay.com/docs/20065/rcse3.pdf,RCS080568K0FKEA,Vishay Dale,0.4W,~,±1%
1,R7,68kΩ,https://www.vishay.com/docs/20065/rcse3.pdf,RCS080568K0FKEA,Vishay Dale,0.4W,~,±1%
1,U1,MCP1541,http://ww1.microchip.com/downloads/en/devicedoc/21653b.pdf,MCP1541T-I/TT,Microchip Technology,~,~,~
1,U2,MCP6021,https://ww1.microchip.com/downloads/en/DeviceDoc/20001685E.pdf,MCP6021-I/SN,Microchip Technology,~,~,~
1,U3,MCP3208,http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf,MCP3208T-BI/SL,Microchip Technology,~,~,~
